City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,47.17,70,97,5.66,AR,1674767759
1,cockburn town,21.4612,-71.1419,77.68,79,7,16.6,TC,1674768016
2,moshkovo,55.3053,83.6104,13.48,83,97,22.86,RU,1674768016
3,kapaa,22.0752,-159.319,73.72,61,40,17.27,US,1674767978
4,key west,24.5557,-81.7826,73.99,76,40,21.85,US,1674767900
5,shingu,33.7333,135.9833,38.03,78,100,4.43,JP,1674767774
6,punta arenas,-53.15,-70.9167,53.71,47,75,34.52,CL,1674768017
7,norman wells,65.282,-126.8329,-0.36,71,100,5.75,CA,1674768017
8,husavik,66.0449,-17.3389,40.93,86,100,10.67,IS,1674768018
9,fort nelson,58.8053,-122.7002,17.94,67,75,6.91,CA,1674768018
10,albany,42.6001,-73.9662,37.22,71,72,5.01,US,1674767821
11,hilo,19.7297,-155.09,76.28,82,0,5.75,US,1674767817
12,goundam,16.4145,-3.6708,78.64,21,34,10.58,ML,1674768019
13,narsaq,60.9167,-46.05,17.82,85,52,5.86,GL,1674768019
14,cape town,-33.9258,18.4232,67.91,71,0,16.11,ZA,1674768001
15,biak,-0.9131,122.8766,76.93,81,100,2.98,ID,1674768020
16,nanortalik,60.1432,-45.2371,23.68,74,100,21.52,GL,1674768020
17,rodrigues alves,-7.738,-72.6509,82.6,86,98,2.46,BR,1674768021
18,atuona,-9.8,-139.0333,78.48,77,18,18.25,PF,1674768021
19,rikitea,-23.1203,-134.9692,79.09,73,100,16.89,PF,1674768021
20,tuatapere,-46.1333,167.6833,57.07,94,100,7.45,NZ,1674768022
21,vestmannaeyjar,63.4427,-20.2734,45.12,83,100,28.5,IS,1674768022
22,avarua,-21.2078,-159.775,84.25,74,20,11.5,CK,1674767984
23,iralaya,15.0,-83.2333,80.2,75,36,13.49,HN,1674768023
24,new norfolk,-42.7826,147.0587,59.72,61,20,3.27,AU,1674768023
25,luderitz,-26.6481,15.1594,65.44,74,0,17.25,NA,1674768024
26,lazaro cardenas,17.9583,-102.2,83.32,48,0,8.84,MX,1674768024
